LAND_SIZE,FLOOR_AREA,NUM_BEDROOMS,NUM_CARSPACE,GARAGE_AREA,PROPERTY_TYPE,NUM_STOREYS,BUILT_YEAR,PROPERTY_CONDITION,RENOVATION_YEAR,OUTDOOR_FEATURE,SOLAR_PANEL,AIRCONDITIONER,POTENTIAL_SECOND_BUILDING,NUM_BUILDINGS,ADDRESS,DISTANCE_TO_TRAIN,DISTANCE_TO_BUS,DISTANCE_TO_SCHOOLS,DISTANCE_TO_UNIVERSITY,NEAR_GOOD_SCHOOLS,NEAR_GOOD_UNIVERSITIES,DISTANCE_TO_SHOPPING_CENTERS,DISTANCE_TO_CBD,DISTANCE_TO_HOSPITALS,DISTANCE_TO_BEACHES,DISTANCE_TO_PARKS,DISTANCE_TO_GYM,NEAR_HIGHWAY,SUBURB,POSTCODE,SUBURB_MEAN_PRICE,MEAN_PRICE_AREA,SUBURB_PRICE_GROWTH,NUM_SALES_NEARBY,AVG_RENTAL_PRICE,AUCTION_CLEARANCE_RATE,PROPERTY_SALES_VOLUME,RENTAL_VACANCY_RATE,RENT_RATE,RENTAL_PRICE_GROWTH,POPULATION_GROWTH,VACANCY_RATE,RENTAL_GROWTH,HISTORICAL_CAPITAL_GROWTH,CRIME_STATISTICS,WALKABILITY,AIR_QUALITY,SALE_DATE,SALE_PRICE,COMPARABLE_SALES,FLOOD_RISK,BUSHFIRE_RISK,COASTAL_EROSION_RISK,WEEKLY_RENT_RATE,COUNCIL_RATES,LATITUDE,LONGITUDE,NUM_BATHROOMS,TOILETS,PREV_SALE_DATE,PREV_SALE_PRICE,COMPARABLE_SALES_N,DISTANCE_TO_WATER_M
1407.0,45.0,1.0,0.0,0.0,Unit,1.0,1965.0,Unspecified,1965.0,balcony;garden,0.0,1.0,0.0,2,"13/5 THE ESPLANADE, MOSMAN, NSW 2088",4.159,0.096,0.129,4.149,1,0,1.087,6.071,2.734,2.732,0.162,3.039,0,Mosman,2088,1400000,1463000.0,-11.03210105,71,820,37.15,355,2.31,3.025,5.12820512,-0.51,1.66,7.5,2.96244128,27.6,66,11.46,2026-09-03,1450000,817500.0,High,Low,Nil,949.4,1695.976966773010,-33.82731901,151.25150371,1.0,1,2011-11-28;2006-06-24,520000;420500,26,93
717.0,45.0,1.0,0.0,0.0,Unit,1.0,1960.0,Renovated,1960.0,garden,0.0,0.0,0.0,1,"3/17 MILNER ST, MOSMAN, NSW 2088",3.103,0.026,0.125,3.119,1,1,1.051,4.994,1.73,3.502,0.238,2.368,0,Mosman,2088,1400000,1463000.0,1.19568301,130,820,38.19,355,2.31,3.025,5.12820512,-0.51,1.66,7.5,38.01358159,27.6,13,11.46,2026-08-21,790000,817500.0,Medium,Nil,Nil,540.0,1695.976966773010,-33.83297001,151.24158753,1.0,1,2014-03-14,455000,28,257
74.0,,1.0,1.0,18.0,Unit,1.0,2017.0,Unspecified,2017.0,balcony;courtyard;garden,0.0,1.0,0.0,3,"111/116 BELMONT RD, MOSMAN, NSW 2088",2.429,0.126,0.483,2.441,1,1,0.922,5.006,1.07,4.478,0.135,1.293,1,Mosman,2088,1400000,1463000.0,1.19568301,95,820,38.19,355,2.31,3.025,5.12820512,-0.51,1.66,7.5,38.01358159,27.6,12,11.46,2026-08-19,930000,820000.0,Medium,Nil,Nil,949.4,1695.976966773010,-33.82749438,151.23187275,1.0,1,2023-08-04;2015-03-17,882000;680000,29,391
1221.0,108.0,3.0,2.0,36.0,Unit,1.0,1999.0,Unspecified,1999.0,balcony,0.0,1.0,0.0,1,"4/139-153 MIDDLE HEAD RD, MOSMAN, NSW 2088",3.428,0.03,0.299,3.444,1,1,1.024,5.277,2.048,3.202,0.076,2.604,0,Mosman,2088,1400000,1463000.0,1.19568301,125,820,32.95,355,2.31,3.025,5.12820512,-0.51,1.66,7.5,38.01358159,27.6,19,11.46,2026-08-14,2600000,2620000.0,High,Nil,Nil,949.4,1695.976966773010,-33.83203294,151.24496821,2.0,2,2023-09-18;2011-07-27;2004-05-08;2002-11-22;1998-09-08,2800000;1212500;927500;850000;635000,22,69
777.0,,1.0,1.0,18.0,Unit,1.0,1964.0,Unspecified,1964.0,none,0.0,0.0,0.0,1,"9/71 AVENUE RD, MOSMAN, NSW 2088",2.767,0.049,0.263,2.745,1,1,1.054,4.787,1.347,3.889,0.165,2.017,0,Mosman,2088,1400000,1463000.0,1.19568301,156,820,32.95,355,2.31,3.025,5.12820512,-0.51,1.66,7.5,38.01358159,27.6,8,11.46,2026-08-10,700000,820000.0,Medium,Nil,Nil,949.4,1695.976966773010,-33.83264009,151.23740967,1.0,1,,,28,262
505.0,68.0,2.0,0.0,0.0,Unit,1.0,1976.0,Unspecified,1976.0,garden,,,0.0,1,"3/6 BRIERLEY ST, MOSMAN, NSW 2088",2.219,0.199,0.39,2.199,1,1,1.247,4.442,0.798,4.431,0.071,1.623,0,Mosman,2088,1400000,1463000.0,1.19568301,94,820,35.85,355,2.31,3.025,5.12820512,-0.51,1.66,7.5,38.01358159,27.6,11,11.46,2026-08-04,975000,1305000.0,Medium,Nil,Nil,1050.02,1695.976966773010,-33.83311379,151.23149224,1.0,1,2021-05-21;2015-07-03;2014-02-15;2007-02-26;2004-02-05;1984-04-27,990000;830000;700000;399000;420000;80000,58,190
634.0,49.0,1.0,1.0,18.0,Unit,1.0,1964.0,Renovated,1964.0,none,0.0,0.0,0.0,1,"11/23 WARRINGAH RD, MOSMAN, NSW 2088",3.982,0.088,0.672,4.01,1,0,0.754,6.544,2.678,3.78,0.11,2.429,1,Mosman,2088,1400000,1463000.0,1.19568301,101,820,33.33,355,2.31,3.025,5.12820512,-0.51,1.66,7.5,38.01358159,27.6,8,11.46,2026-07-31,865000,820000.0,Medium,Nil,Nil,949.4,1695.976966773010,-33.81761735,151.24460284,1.0,1,2017-08-19;2011-10-21;1994-04-15,700000;468000;180000,29,348
1094.0,49.0,1.0,1.0,18.0,Unit,1.0,1963.0,Unspecified,1963.0,,,,0.0,1,"8/84-86 BRADLEYS HEAD RD, MOSMAN, NSW 2088",3.338,0.119,0.169,3.399,1,1,1.17,5.141,2.02,3.207,0.139,2.654,0,Mosman,2088,1400000,1463000.0,1.19568301,126,820,33.33,355,2.31,3.025,5.12820512,-0.51,1.66,7.5,38.01358159,27.6,15,11.46,2026-07-31,760000,820000.0,Medium,Nil,Nil,949.4,1695.976966773010,-33.83350867,151.24473572,1.0,1,2016-06-21;2007-12-13;1996-04-16;1983-05-31,625000;350000;188000;55500,29,154
437.0,,4.0,2.0,36.0,House,,2005.0,Unspecified,2005.0,alfresco;garden;pool;terrace,0.0,1.0,0.0,1,"5 BOTANIC RD, MOSMAN, NSW 2088",3.863,0.122,0.413,3.847,1,1,1.014,5.714,2.437,2.896,0.238,2.853,0,Mosman,2088,5300000,6126000.0,5.85837128,112,2300,37.05,208,2.31,1.87,4.54545454,-0.51,1.66,15.7,61.62754026,27.6,22,11.46,2026-07-22,8700000,5300000.0,Medium,Low,Nil,2747.51,1695.976966773010,-33.8296353,151.24883363,3.0,3,2018-04-12;2015-12-24,7000000;4500000,19,445
631.0,42.0,1.0,0.0,18.0,Unit,1.0,1910.0,Unspecified,1910.0,,,,0.0,2,"3/20 MUSTON ST, MOSMAN, NSW 2088",3.501,0.067,0.24,3.492,1,1,0.948,5.371,2.089,3.185,0.164,2.596,0,Mosman,2088,1400000,1463000.0,1.19568301,135,820,37.05,355,2.31,3.025,5.12820512,-0.51,1.66,7.5,38.01358159,27.6,20,11.46,2026-07-21,1050000,820000.0,Medium,Nil,Nil,949.4,1695.976966773010,-33.83115426,151.24530127,1.0,1,1991-12-06,168000,29,149
